"","lead","follower","X.x","lag","pvalue.x","X.y","TE","pvalue.y","adjcos"
"137","Vehicle412","Vehicle424",768,-2,0.000875488132089309,6166,0.121106635182961,0,-0.558101758619583
"138","Vehicle415","Vehicle424",775,-3,6.35358667164259e-05,6202,0.157268587643747,0,-0.993442282727213
"139","Vehicle415","Vehicle424",774,-2,3.65005032031281e-06,6202,0.157268587643747,0,-0.993442282727213
"140","Vehicle421","Vehicle425",784,-4,0.000411854690617948,6258,0.125540516856698,0,-0.974878742884854
"141","Vehicle421","Vehicle425",783,-3,0.000643728739807146,6258,0.125540516856698,0,-0.974878742884854
"142","Vehicle433","Vehicle444",798,-2,0.000108635888996158,6370,0.121146094541207,0,-0.926209356263516
"143","Vehicle434","Vehicle436",800,-4,0.000178589579195778,6373,0.129300118776579,0,-0.872276249844335
"144","Vehicle438","Vehicle439",805,-2,0.000395980070222512,6411,0.17806385214393,0,0.510513112819014
"145","Vehicle445","Vehicle465",816,-2,1.70298635272823e-05,6499,0.132926170821673,0,-0.998309699491574
"146","Vehicle451","Vehicle463",824,-3,0.000737247625704502,6590,0.137712135357017,0,-0.694524170038915
"147","Vehicle457","Vehicle458",831,-2,0.000304684847726538,6637,0.135347475925169,0,-0.646119296541753
"148","Vehicle461","Vehicle466",840,-4,0.00099954976679814,6723,0.290219992316553,0,-0.728475875622002
"149","Vehicle461","Vehicle466",839,-2,0.00098822234869741,6723,0.290219992316553,0,-0.728475875622002
"150","Vehicle468","Vehicle477",856,-3,0.000852296199052062,6846,0.11625016591845,0,0.531368679160825
"151","Vehicle469","Vehicle475",858,-4,0.000182031739808314,6859,0.186625306955023,0,-0.862658188365936
"152","Vehicle471","Vehicle489",864,-3,0.000819325645836568,6919,0.12510823404457,0,-0.987219600985354
"153","Vehicle473","Vehicle495",870,-3,0.000904906446833238,6975,0.129329366996512,0,-0.929646937925071
"154","Vehicle485","Vehicle495",914,-2,0.000487149783764523,7257,0.103503723073514,0,-0.863669152816729
"155","Vehicle488","Vehicle495",920,-2,2.41798518680799e-05,7325,0.1228809452184,0,-0.870151861778438
"156","Vehicle488","Vehicle495",921,-3,0.000611167366857583,7325,0.1228809452184,0,-0.870151861778438
"157","Vehicle491","Vehicle495",935,-4,0.000205530396930176,7396,0.165965198557055,0,0.479971692543879
"158","Vehicle491","Vehicle495",933,-2,1.96467857041924e-07,7396,0.165965198557055,0,0.479971692543879
"159","Vehicle491","Vehicle495",934,-3,0.000558365564908251,7396,0.165965198557055,0,0.479971692543879
"160","Vehicle5","Vehicle7",8,-3,1.58177486611417e-06,15,0.276497491356122,0,-0.662314137890472
"161","Vehicle5","Vehicle7",9,-4,0.000750010868252877,15,0.276497491356122,0,-0.662314137890472
"162","Vehicle5","Vehicle7",7,-2,8.87312762912743e-08,15,0.276497491356122,0,-0.662314137890472
"163","Vehicle508","Vehicle509",971,-4,0.000657141812655284,7730,0.155077359279326,0,-0.988543259352092
"164","Vehicle508","Vehicle509",970,-3,0.00010936381836594,7730,0.155077359279326,0,-0.988543259352092
"165","Vehicle508","Vehicle510",972,-3,0.000308019170629745,7731,0.111283435849224,0,-0.438939438480163
"166","Vehicle509","Vehicle521",976,-4,0.00065312121837291,7755,0.148890204330961,0,-0.915897964793107
"167","Vehicle534","Vehicle536",1011,-3,0.000872127063768972,7994,0.10485420148099,0,0.13429944121184
"168","Vehicle536","Vehicle537",1015,-2,0.000998645811100447,8018,0.187272159394362,0,-0.932534105435079
"169","Vehicle536","Vehicle538",1016,-2,0.00054301275276481,8019,0.106799871136033,0,-0.851494717872779
"170","Vehicle552","Vehicle563",1046,-4,0.000991362096849304,8224,0.105706327174629,0,0.226062050552235
"171","Vehicle552","Vehicle563",1045,-3,4.56185089165333e-05,8224,0.105706327174629,0,0.226062050552235
"172","Vehicle552","Vehicle563",1044,-2,1.24712808900307e-05,8224,0.105706327174629,0,0.226062050552235
"173","Vehicle558","Vehicle559",1055,-2,0.000492039144433783,8292,0.222141230955833,0,-0.883190843985365
"174","Vehicle559","Vehicle560",1058,-2,0.000109161318090099,8305,0.145949751823189,0,-0.0901221569332443
"175","Vehicle559","Vehicle560",1059,-3,5.38349898662914e-05,8305,0.145949751823189,0,-0.0901221569332443
"176","Vehicle582","Vehicle594",1096,-3,0.00045876407984654,8634,0.146606848007543,0,-0.777907957344071
"177","Vehicle585","Vehicle595",1101,-3,5.07219588199158e-05,8660,0.102196570027115,0,-0.782358432332093
"178","Vehicle591","Vehicle595",1122,-4,0.000225352627198965,8775,0.123459891884748,0,-0.618293058437617
"179","Vehicle595","Vehicle599",1132,-2,5.59649634005651e-05,8847,0.147598111076683,0,0.559771775626116
"180","Vehicle595","Vehicle599",1133,-3,0.00036089583215062,8847,0.147598111076683,0,0.559771775626116
"181","Vehicle619","Vehicle621",1176,-2,5.30889203223319e-06,9112,0.113058036452587,0,-0.147376870002278
"182","Vehicle632","Vehicle643",1189,-3,0.00016535285671545,9206,0.128584892275008,0,-0.89809696074803
"183","Vehicle638","Vehicle648",1197,-4,0.000118695924141798,9286,0.207946234407474,0,-0.612535993727146
"184","Vehicle642","Vehicle647",1206,-2,0.000286354272775843,9349,0.159682998810902,0,-0.975920980275359
"185","Vehicle652","Vehicle660",1230,-2,5.07007401101132e-06,9527,0.132778494869533,0,-0.221461176608247
"186","Vehicle652","Vehicle660",1231,-3,3.69676898988543e-05,9527,0.132778494869533,0,-0.221461176608247
"187","Vehicle655","Vehicle667",1238,-3,0.000771602984950956,9593,0.174736454637842,0,-0.901503769050023
"188","Vehicle676","Vehicle686",1278,-2,0.000715412043213281,9951,0.122482356809819,0,-0.846223900536032
"189","Vehicle676","Vehicle686",1279,-3,4.20082502752245e-08,9951,0.122482356809819,0,-0.846223900536032
"190","Vehicle677","Vehicle686",1282,-3,3.44946519026963e-06,9966,0.117721329622311,0,-0.922960428092577
"191","Vehicle680","Vehicle691",1290,-3,6.5938972407212e-06,10016,0.130148008641659,0,0.402446558437394
"192","Vehicle680","Vehicle691",1291,-4,8.48840019310775e-05,10016,0.130148008641659,0,0.402446558437394
"193","Vehicle680","Vehicle691",1289,-2,3.4112839448904e-05,10016,0.130148008641659,0,0.402446558437394
"194","Vehicle682","Vehicle689",1301,-3,0.000226725471609614,10061,0.133411174529968,0,-0.781514432537447
"195","Vehicle682","Vehicle689",1300,-2,0.000506837334555403,10061,0.133411174529968,0,-0.781514432537447
"196","Vehicle683","Vehicle687",1308,-3,4.79121778811652e-07,10076,0.12315127102439,0,-0.941238256017611
"197","Vehicle683","Vehicle687",1307,-2,2.55973378667802e-05,10076,0.12315127102439,0,-0.941238256017611
"198","Vehicle683","Vehicle700",1309,-3,0.000184870454360953,10089,0.106841590602453,0,-0.774343522931508
"199","Vehicle685","Vehicle695",1314,-3,0.000629354958400673,10128,0.119402355366201,0,-0.952803083458547
"200","Vehicle685","Vehicle695",1315,-4,0.000626626958983001,10128,0.119402355366201,0,-0.952803083458547
"201","Vehicle688","Vehicle700",1319,-2,9.18820374433281e-05,10206,0.149359035729807,0,-0.986686051048098
"202","Vehicle688","Vehicle700",1320,-3,7.07411162460701e-05,10206,0.149359035729807,0,-0.986686051048098
"203","Vehicle696","Vehicle700",1341,-2,0.000233491550889403,10453,0.11147396727581,0,0.906164161779597
"204","Vehicle696","Vehicle702",1343,-3,6.58458346211714e-06,10455,0.113416362537611,0,0.370845093003251
"205","Vehicle696","Vehicle702",1342,-2,0.000546886708000095,10455,0.113416362537611,0,0.370845093003251
"206","Vehicle702","Vehicle721",1362,-2,0.000232838483350499,10685,0.158578452737012,0,-0.89680570814719
"207","Vehicle710","Vehicle712",1376,-3,0.000810585113612755,10976,0.13267755286767,0,-0.282823211837591
"208","Vehicle712","Vehicle723",1388,-3,6.29460558861353e-06,11076,0.118358908868728,0,0.0986639544921986
"209","Vehicle712","Vehicle723",1387,-2,8.22378228575495e-09,11076,0.118358908868728,0,0.0986639544921986
"210","Vehicle712","Vehicle723",1389,-4,2.16734905800627e-05,11076,0.118358908868728,0,0.0986639544921986
"211","Vehicle720","Vehicle746",1411,-2,0.000456444517379434,11394,0.25494993807136,0,-0.930952301147245
"212","Vehicle722","Vehicle738",1417,-2,0.000364449012936154,11446,0.254605049112105,0,-0.966048994551221
"213","Vehicle728","Vehicle735",1432,-3,4.50255833292516e-06,11611,0.135513075503129,0,-0.944911269970728
"214","Vehicle728","Vehicle735",1433,-4,0.00034234966404563,11611,0.135513075503129,0,-0.944911269970728
"215","Vehicle728","Vehicle735",1431,-2,5.06340521084135e-06,11611,0.135513075503129,0,-0.944911269970728
"216","Vehicle728","Vehicle738",1434,-2,0.000969960685029013,11614,0.136075998869204,0,-0.879632442259122
"217","Vehicle732","Vehicle745",1443,-3,0.000461499373269327,11751,0.147762009245996,0,-0.687420501756682
"218","Vehicle735","Vehicle745",1449,-3,0.000887028097766425,11821,0.107858811605964,0,-0.245644990603985
"219","Vehicle745","Vehicle761",1478,-4,0.00071698279321664,12120,0.133662704688216,0,-0.727998518582008
"220","Vehicle760","Vehicle773",1508,-2,0.000517112072762515,12514,0.114348140005987,0,-0.968958990702239
"221","Vehicle760","Vehicle773",1509,-3,2.34042383890779e-05,12514,0.114348140005987,0,-0.968958990702239
"222","Vehicle781","Vehicle788",1552,-3,0.000621788199062705,12878,0.146895341054332,0,-0.447417206116113
"223","Vehicle784","Vehicle788",1558,-3,0.000159542523967222,12913,0.146895341054332,0,-0.682242727317866
"224","Vehicle784","Vehicle788",1557,-2,9.79847273393051e-05,12913,0.146895341054332,0,-0.682242727317866
"225","Vehicle799","Vehicle802",1577,-2,0.000145207772414083,13028,0.113779224764057,0,-0.204706692942144
"226","Vehicle806","Vehicle808",1587,-3,0.000579549204545478,13114,0.177037993159377,0,-0.101169202694815
"227","Vehicle806","Vehicle808",1588,-4,2.23424222103108e-05,13114,0.177037993159377,0,-0.101169202694815
"228","Vehicle807","Vehicle818",1590,-2,5.89073390824573e-05,13133,0.112944277266444,0,-0.614507604538214
"229","Vehicle808","Vehicle810",1592,-2,0.000839162575300574,13136,0.115235231893729,0,-0.927242088949286
"230","Vehicle812","Vehicle818",1597,-2,0.000541766076819202,13189,0.162944277266444,0,-0.983007147153805
"231","Vehicle816","Vehicle817",1604,-4,0.000187761307788078,13221,0.311184000171082,0,-0.936515402111388
"232","Vehicle816","Vehicle817",1602,-2,4.90703721102484e-05,13221,0.311184000171082,0,-0.936515402111388
"233","Vehicle816","Vehicle817",1603,-3,0.00041999019330062,13221,0.311184000171082,0,-0.936515402111388
"234","Vehicle820","Vehicle821",1611,-4,0.000330371445883984,13254,0.104919827048797,0,-0.660662595583378
"235","Vehicle824","Vehicle825",1616,-4,0.000753132397217953,13293,0.283062669339,0,0.759501025140858
"236","Vehicle830","Vehicle835",1627,-3,0.000108344464494738,13354,0.131063345925997,0,-0.995408984432068
"237","Vehicle830","Vehicle835",1628,-4,0.000843735287586112,13354,0.131063345925997,0,-0.995408984432068
"238","Vehicle84","Vehicle87",138,-2,0.000988970316730167,1153,0.115716399191568,0,0.0409216024909873
"239","Vehicle843","Vehicle849",1666,-3,5.86132397379524e-06,13518,0.148855024782286,0,-0.579832331884304
"240","Vehicle85","Vehicle92",140,-2,0.000793137997965795,1165,0.116105304526879,0,-0.232440792961149
"241","Vehicle85","Vehicle92",141,-3,3.03648082129143e-05,1165,0.116105304526879,0,-0.232440792961149
"242","Vehicle858","Vehicle887",1712,-2,0.000209042983990859,13946,0.11251612829162,0,-0.509454115219285
"243","Vehicle870","Vehicle876",1737,-3,0.000153415657052991,14269,0.113628326122775,0,-0.969516214625883
"244","Vehicle870","Vehicle880",1738,-4,0.000646792865512579,14273,0.125623264933507,0,-0.967895255308137
"245","Vehicle871","Vehicle887",1744,-3,0.000123267907486851,14304,0.17834984637458,0,-0.625878135440803
"246","Vehicle871","Vehicle889",1745,-4,0.000953189398622161,14306,0.116396430296861,0,0.340409713320783
"247","Vehicle892","Vehicle894",1795,-2,0.000574674788751894,14723,0.141520951317876,0,-0.731757085552062
"248","Vehicle893","Vehicle894",1797,-2,2.18912876060042e-05,14745,0.1428740507452,0,-0.285061539063018
"249","Vehicle893","Vehicle894",1798,-4,0.000690164460777852,14745,0.1428740507452,0,-0.285061539063018
"250","Vehicle913","Vehicle926",1833,-3,0.000325277841546541,15131,0.386151273185766,0,-0.783766175381883
"251","Vehicle913","Vehicle926",1832,-2,1.23524641023214e-05,15131,0.386151273185766,0,-0.783766175381883
"252","Vehicle918","Vehicle937",1840,-3,0.000934318842687725,15198,0.160780392104065,0,-0.869165452080156
"253","Vehicle923","Vehicle924",1846,-2,0.000461881046933339,15267,0.101892314729625,0,0.980851834615316
"254","Vehicle923","Vehicle924",1847,-3,0.000184642363615689,15267,0.101892314729625,0,0.980851834615316
"255","Vehicle931","Vehicle935",1862,-3,0.000512345018421818,15449,0.100622628218925,0,-0.978491464356314
"256","Vehicle937","Vehicle955",1876,-4,0.000725880804958036,15565,0.129978313645039,0,-0.603343407876865
"257","Vehicle937","Vehicle955",1875,-2,0.000206345193976365,15565,0.129978313645039,0,-0.603343407876865
"258","Vehicle952","Vehicle960",1901,-2,2.7183915828231e-05,15832,0.23987028034344,0,0.566264116408076
"259","Vehicle955","Vehicle974",1913,-4,0.000578236826295982,15903,0.102155566219277,0,0.422652163498258
"260","Vehicle955","Vehicle974",1911,-2,8.19472004339215e-05,15903,0.102155566219277,0,0.422652163498258
"261","Vehicle955","Vehicle974",1912,-3,0.000731832681676215,15903,0.102155566219277,0,0.422652163498258
"262","Vehicle957","Vehicle960",1916,-2,0.000598887469179067,15935,0.136477492202555,0,-0.878929950174706
"263","Vehicle970","Vehicle975",1943,-2,0.000655639696932197,16191,0.100907615133724,0,-0.959801923987529
"264","Vehicle976","Vehicle986",1953,-3,0.000175725014675887,16362,0.121497110292616,0,0.452305305546704
"265","Vehicle978","Vehicle994",1957,-3,0.000812411736694327,16407,0.109909820096879,0,-0.998004403247108
